日期,節氣,節氣時分
2025-09-09,白露,-
2025-09-10,白露,-
2025-09-11,白露,-
2025-09-12,白露,-
2025-09-13,白露,-
2025-09-14,白露,-
2025-09-15,白露,-
2025-09-16,白露,-
2025-09-17,白露,-
2025-09-18,白露,-
2025-09-19,白露,-
2025-09-20,白露,-
2025-09-21,白露,-
2025-09-22,白露,-
2025-09-23,秋分,2:19
2025-09-24,秋分,-
2025-09-25,秋分,-
2025-09-26,秋分,-
2025-09-27,秋分,-
2025-09-28,秋分,-
2025-09-29,秋分,-
2025-09-30,秋分,-
2025-10-01,秋分,-
2025-10-02,秋分,-
2025-10-03,秋分,-
2025-10-04,秋分,-
2025-10-05,秋分,-
2025-10-06,秋分,-
2025-10-07,秋分,-
2025-10-08,寒露,8:41
2025-10-09,寒露,-
2025-10-10,寒露,-
2025-10-11,寒露,-
2025-10-12,寒露,-
2025-10-13,寒露,-
2025-10-14,寒露,-
2025-10-15,寒露,-
2025-10-16,寒露,-
2025-10-17,寒露,-
2025-10-18,寒露,-
2025-10-19,寒露,-
2025-10-20,寒露,-
2025-10-21,寒露,-
2025-10-22,寒露,-
2025-10-23,霜降,11:51
2025-10-24,霜降,-
2025-10-25,霜降,-
2025-10-26,霜降,-
2025-10-27,霜降,-
2025-10-28,霜降,-
2025-10-29,霜降,-
2025-10-30,霜降,-
2025-10-31,霜降,-
2025-11-01,霜降,-
2025-11-02,霜降,-
2025-11-03,霜降,-
2025-11-04,霜降,-
2025-11-05,霜降,-
2025-11-06,霜降,-
2025-11-07,立冬,12:04
2025-11-08,立冬,-
2025-11-09,立冬,-
2025-11-10,立冬,-
2025-11-11,立冬,-
2025-11-12,立冬,-
2025-11-13,立冬,-
2025-11-14,立冬,-
2025-11-15,立冬,-
2025-11-16,立冬,-
2025-11-17,立冬,-
2025-11-18,立冬,-
2025-11-19,立冬,-
2025-11-20,立冬,-
2025-11-21,立冬,-
2025-11-22,小雪,9:36
2025-11-23,小雪,-
2025-11-24,小雪,-
2025-11-25,小雪,-
2025-11-26,小雪,-
2025-11-27,小雪,-
2025-11-28,小雪,-
2025-11-29,小雪,-
2025-11-30,小雪,-
2025-12-01,小雪,-
2025-12-02,小雪,-
2025-12-03,小雪,-
2025-12-04,小雪,-
2025-12-05,小雪,-
2025-12-06,小雪,-
2025-12-07,大雪,5:05
2025-12-08,大雪,-
2025-12-09,大雪,-
2025-12-10,大雪,-
2025-12-11,大雪,-
2025-12-12,大雪,-
2025-12-13,大雪,-
2025-12-14,大雪,-
2025-12-15,大雪,-
2025-12-16,大雪,-
2025-12-17,大雪,-
2025-12-18,大雪,-
2025-12-19,大雪,-
2025-12-20,大雪,-
2025-12-21,冬至,23:03
2025-12-22,冬至,-
2025-12-23,冬至,-
2025-12-24,冬至,-
2025-12-25,冬至,-
2025-12-26,冬至,-
2025-12-27,冬至,-
2025-12-28,冬至,-
2025-12-29,冬至,-
2025-12-30,冬至,-
2025-12-31,冬至,-
2026-01-01,冬至,-
2026-01-02,冬至,-
2026-01-03,冬至,-
2026-01-04,冬至,-
2026-01-05,小寒,16:23
2026-01-06,小寒,-
2026-01-07,小寒,-
2026-01-08,小寒,-
2026-01-09,小寒,-
2026-01-10,小寒,-
2026-01-11,小寒,-
2026-01-12,小寒,-
2026-01-13,小寒,-
2026-01-14,小寒,-
2026-01-15,小寒,-
2026-01-16,小寒,-
2026-01-17,小寒,-
2026-01-18,小寒,-
2026-01-19,小寒,-
2026-01-20,大寒,9:45
2026-01-21,大寒,-
2026-01-22,大寒,-
2026-01-23,大寒,-
2026-01-24,大寒,-
2026-01-25,大寒,-
2026-01-26,大寒,-
2026-01-27,大寒,-
2026-01-28,大寒,-
2026-01-29,大寒,-
2026-01-30,大寒,-
2026-01-31,大寒,-
2026-02-01,大寒,-
2026-02-02,大寒,-
2026-02-03,大寒,-
2026-02-04,立春,4:02
2026-02-05,立春,-
2026-02-06,立春,-
2026-02-07,立春,-
2026-02-08,立春,-
2026-02-09,立春,-
2026-02-10,立春,-
2026-02-11,立春,-
2026-02-12,立春,-
2026-02-13,立春,-
2026-02-14,立春,-
2026-02-15,立春,-
2026-02-16,立春,-
2026-02-17,立春,-
2026-02-18,雨水,23:52
2026-02-19,雨水,-
2026-02-20,雨水,-
2026-02-21,雨水,-
2026-02-22,雨水,-
2026-02-23,雨水,-
2026-02-24,雨水,-
2026-02-25,雨水,-
2026-02-26,雨水,-
2026-02-27,雨水,-
2026-02-28,雨水,-
2026-03-01,雨水,-
2026-03-02,雨水,-
2026-03-03,雨水,-
2026-03-04,雨水,-
2026-03-05,驚蟄,21:59
2026-03-06,驚蟄,-
2026-03-07,驚蟄,-
2026-03-08,驚蟄,-
2026-03-09,驚蟄,-
2026-03-10,驚蟄,-
2026-03-11,驚蟄,-
2026-03-12,驚蟄,-
2026-03-13,驚蟄,-
2026-03-14,驚蟄,-
2026-03-15,驚蟄,-
2026-03-16,驚蟄,-
2026-03-17,驚蟄,-
2026-03-18,驚蟄,-
2026-03-19,驚蟄,-
2026-03-20,春分,22:46
2026-03-21,春分,-
2026-03-22,春分,-
2026-03-23,春分,-
2026-03-24,春分,-
2026-03-25,春分,-
2026-03-26,春分,-
2026-03-27,春分,-
2026-03-28,春分,-
2026-03-29,春分,-
2026-03-30,春分,-
2026-03-31,春分,-
2026-04-01,春分,-
2026-04-02,春分,-
2026-04-03,春分,-
2026-04-04,春分,-
2026-04-05,清明,2:40
2026-04-06,清明,-
2026-04-07,清明,-
2026-04-08,清明,-
2026-04-09,清明,-
2026-04-10,清明,-
2026-04-11,清明,-
2026-04-12,清明,-
2026-04-13,清明,-
2026-04-14,清明,-
2026-04-15,清明,-
2026-04-16,清明,-
2026-04-17,清明,-
2026-04-18,清明,-
2026-04-19,清明,-
2026-04-20,穀雨,9:39
2026-04-21,穀雨,-
2026-04-22,穀雨,-
2026-04-23,穀雨,-
2026-04-24,穀雨,-
2026-04-25,穀雨,-
2026-04-26,穀雨,-
2026-04-27,穀雨,-
2026-04-28,穀雨,-
2026-04-29,穀雨,-
2026-04-30,穀雨,-
2026-05-01,穀雨,-
2026-05-02,穀雨,-
2026-05-03,穀雨,-
2026-05-04,穀雨,-
2026-05-05,立夏,19:49
2026-05-06,立夏,-
2026-05-07,立夏,-
2026-05-08,立夏,-
2026-05-09,立夏,-
2026-05-10,立夏,-
2026-05-11,立夏,-
2026-05-12,立夏,-
2026-05-13,立夏,-
2026-05-14,立夏,-
2026-05-15,立夏,-
2026-05-16,立夏,-
2026-05-17,立夏,-
2026-05-18,立夏,-
2026-05-19,立夏,-
2026-05-20,立夏,-
2026-05-21,小滿,8:37
2026-05-22,小滿,-
2026-05-23,小滿,-
2026-05-24,小滿,-
2026-05-25,小滿,-
2026-05-26,小滿,-
2026-05-27,小滿,-
2026-05-28,小滿,-
2026-05-29,小滿,-
2026-05-30,小滿,-
2026-05-31,小滿,-
2026-06-01,小滿,-
2026-06-02,小滿,-
2026-06-03,小滿,-
2026-06-04,小滿,-
2026-06-05,芒種,23:48
2026-06-06,芒種,-
2026-06-07,芒種,-
2026-06-08,芒種,-
2026-06-09,芒種,-
2026-06-10,芒種,-
2026-06-11,芒種,-
2026-06-12,芒種,-
2026-06-13,芒種,-
2026-06-14,芒種,-
2026-06-15,芒種,-
2026-06-16,芒種,-
2026-06-17,芒種,-
2026-06-18,芒種,-
2026-06-19,芒種,-
2026-06-20,芒種,-
2026-06-21,夏至,16:24
2026-06-22,夏至,-
2026-06-23,夏至,-
2026-06-24,夏至,-
2026-06-25,夏至,-
2026-06-26,夏至,-
2026-06-27,夏至,-
2026-06-28,夏至,-
2026-06-29,夏至,-
2026-06-30,夏至,-
2026-07-01,夏至,-
2026-07-02,夏至,-
2026-07-03,夏至,-
2026-07-04,夏至,-
2026-07-05,夏至,-
2026-07-06,夏至,-
2026-07-07,小暑,9:57
2026-07-08,小暑,-
2026-07-09,小暑,-
2026-07-10,小暑,-
2026-07-11,小暑,-
2026-07-12,小暑,-
2026-07-13,小暑,-
2026-07-14,小暑,-
2026-07-15,小暑,-
2026-07-16,小暑,-
2026-07-17,小暑,-
2026-07-18,小暑,-
2026-07-19,小暑,-
2026-07-20,小暑,-
2026-07-21,小暑,-
2026-07-22,小暑,-
2026-07-23,大暑,3:13
2026-07-24,大暑,-
2026-07-25,大暑,-
2026-07-26,大暑,-
2026-07-27,大暑,-
2026-07-28,大暑,-
2026-07-29,大暑,-
2026-07-30,大暑,-
2026-07-31,大暑,-
2026-08-01,大暑,-
2026-08-02,大暑,-
2026-08-03,大暑,-
2026-08-04,大暑,-
2026-08-05,大暑,-
2026-08-06,大暑,-
2026-08-07,立秋,19:43
2026-08-08,立秋,-
2026-08-09,立秋,-
2026-08-10,立秋,-
2026-08-11,立秋,-
2026-08-12,立秋,-
2026-08-13,立秋,-
2026-08-14,立秋,-
2026-08-15,立秋,-
2026-08-16,立秋,-
2026-08-17,立秋,-
2026-08-18,立秋,-
2026-08-19,立秋,-
2026-08-20,立秋,-
2026-08-21,立秋,-
2026-08-22,立秋,-
2026-08-23,處暑,10:19
2026-08-24,處暑,-
2026-08-25,處暑,-
2026-08-26,處暑,-
2026-08-27,處暑,-
2026-08-28,處暑,-
2026-08-29,處暑,-
2026-08-30,處暑,-
2026-08-31,處暑,-
2026-09-01,處暑,-
2026-09-02,處暑,-
2026-09-03,處暑,-
2026-09-04,處暑,-
2026-09-05,處暑,-
2026-09-06,處暑,-
2026-09-07,白露,22:41
2026-09-08,白露,-
2026-09-09,白露,-
2026-09-10,白露,-
2026-09-11,白露,-
2026-09-12,白露,-
2026-09-13,白露,-
2026-09-14,白露,-
2026-09-15,白露,-
2026-09-16,白露,-
2026-09-17,白露,-
2026-09-18,白露,-
2026-09-19,白露,-
2026-09-20,白露,-
2026-09-21,白露,-
2026-09-22,白露,-
2026-09-23,秋分,8:05
2026-09-24,秋分,-
2026-09-25,秋分,-
2026-09-26,秋分,-
2026-09-27,秋分,-
2026-09-28,秋分,-
2026-09-29,秋分,-
2026-09-30,秋分,-
2026-10-01,秋分,-
2026-10-02,秋分,-
2026-10-03,秋分,-
2026-10-04,秋分,-
2026-10-05,秋分,-
2026-10-06,秋分,-
2026-10-07,秋分,-
2026-10-08,寒露,14:29
2026-10-09,寒露,-
2026-10-10,寒露,-
2026-10-11,寒露,-
2026-10-12,寒露,-
2026-10-13,寒露,-
2026-10-14,寒露,-
2026-10-15,寒露,-
2026-10-16,寒露,-
2026-10-17,寒露,-
2026-10-18,寒露,-
2026-10-19,寒露,-
2026-10-20,寒露,-
2026-10-21,寒露,-
2026-10-22,寒露,-
2026-10-23,霜降,17:38
2026-10-24,霜降,-
2026-10-25,霜降,-
2026-10-26,霜降,-
2026-10-27,霜降,-
2026-10-28,霜降,-
2026-10-29,霜降,-
2026-10-30,霜降,-
2026-10-31,霜降,-
2026-11-01,霜降,-
2026-11-02,霜降,-
2026-11-03,霜降,-
2026-11-04,霜降,-
2026-11-05,霜降,-
2026-11-06,霜降,-
2026-11-07,立冬,17:52
2026-11-08,立冬,-
2026-11-09,立冬,-
2026-11-10,立冬,-
2026-11-11,立冬,-
2026-11-12,立冬,-
2026-11-13,立冬,-
2026-11-14,立冬,-
2026-11-15,立冬,-
2026-11-16,立冬,-
2026-11-17,立冬,-
2026-11-18,立冬,-
2026-11-19,立冬,-
2026-11-20,立冬,-
2026-11-21,立冬,-
2026-11-22,小雪,15:23
2026-11-23,小雪,-
2026-11-24,小雪,-
2026-11-25,小雪,-
2026-11-26,小雪,-
2026-11-27,小雪,-
2026-11-28,小雪,-
2026-11-29,小雪,-
2026-11-30,小雪,-
2026-12-01,小雪,-
2026-12-02,小雪,-
2026-12-03,小雪,-
2026-12-04,小雪,-
2026-12-05,小雪,-
2026-12-06,小雪,-
2026-12-07,大雪,10:52
2026-12-08,大雪,-
2026-12-09,大雪,-
2026-12-10,大雪,-
2026-12-11,大雪,-
2026-12-12,大雪,-
2026-12-13,大雪,-
2026-12-14,大雪,-
2026-12-15,大雪,-
2026-12-16,大雪,-
2026-12-17,大雪,-
2026-12-18,大雪,-
2026-12-19,大雪,-
2026-12-20,大雪,-
2026-12-21,大雪,-
2026-12-22,冬至,4:50
2026-12-23,冬至,-
2026-12-24,冬至,-
2026-12-25,冬至,-
2026-12-26,冬至,-
2026-12-27,冬至,-
2026-12-28,冬至,-
2026-12-29,冬至,-
2026-12-30,冬至,-
2026-12-31,冬至,-
2027-01-01,冬至,-
2027-01-02,冬至,-
2027-01-03,冬至,-
2027-01-04,冬至,-
2027-01-05,小寒,22:10
2027-01-06,小寒,-
2027-01-07,小寒,-
2027-01-08,小寒,-
2027-01-09,小寒,-
2027-01-10,小寒,-
2027-01-11,小寒,-
2027-01-12,小寒,-
2027-01-13,小寒,-
2027-01-14,小寒,-
2027-01-15,小寒,-
2027-01-16,小寒,-
2027-01-17,小寒,-
2027-01-18,小寒,-
2027-01-19,小寒,-
2027-01-20,大寒,15:30
2027-01-21,大寒,-
2027-01-22,大寒,-
2027-01-23,大寒,-
2027-01-24,大寒,-
2027-01-25,大寒,-
2027-01-26,大寒,-
2027-01-27,大寒,-
2027-01-28,大寒,-
2027-01-29,大寒,-
2027-01-30,大寒,-
2027-01-31,大寒,-
2027-02-01,大寒,-
2027-02-02,大寒,-
2027-02-03,大寒,-
2027-02-04,立春,9:46
2027-02-05,立春,-
2027-02-06,立春,-
2027-02-07,立春,-
2027-02-08,立春,-
2027-02-09,立春,-
2027-02-10,立春,-
2027-02-11,立春,-
2027-02-12,立春,-
2027-02-13,立春,-
2027-02-14,立春,-
2027-02-15,立春,-
2027-02-16,立春,-
2027-02-17,立春,-
2027-02-18,立春,-
2027-02-19,雨水,5:33
2027-02-20,雨水,-
2027-02-21,雨水,-
2027-02-22,雨水,-
2027-02-23,雨水,-
2027-02-24,雨水,-
2027-02-25,雨水,-
2027-02-26,雨水,-
2027-02-27,雨水,-
2027-02-28,雨水,-
2027-03-01,雨水,-
2027-03-02,雨水,-
2027-03-03,雨水,-
2027-03-04,雨水,-
2027-03-05,雨水,-
2027-03-06,驚蟄,3:39
2027-03-07,驚蟄,-
2027-03-08,驚蟄,-
2027-03-09,驚蟄,-
2027-03-10,驚蟄,-
2027-03-11,驚蟄,-
2027-03-12,驚蟄,-
2027-03-13,驚蟄,-
2027-03-14,驚蟄,-
2027-03-15,驚蟄,-
2027-03-16,驚蟄,-
2027-03-17,驚蟄,-
2027-03-18,驚蟄,-
2027-03-19,驚蟄,-
2027-03-20,驚蟄,-
2027-03-21,春分,4:25
2027-03-22,春分,-
2027-03-23,春分,-
2027-03-24,春分,-
2027-03-25,春分,-
2027-03-26,春分,-
2027-03-27,春分,-
2027-03-28,春分,-
2027-03-29,春分,-
2027-03-30,春分,-
2027-03-31,春分,-
2027-04-01,春分,-
2027-04-02,春分,-
2027-04-03,春分,-
2027-04-04,春分,-
2027-04-05,清明,8:17
2027-04-06,清明,-
2027-04-07,清明,-
2027-04-08,清明,-
2027-04-09,清明,-
2027-04-10,清明,-
2027-04-11,清明,-
2027-04-12,清明,-
2027-04-13,清明,-
2027-04-14,清明,-
2027-04-15,清明,-
2027-04-16,清明,-
2027-04-17,清明,-
2027-04-18,清明,-
2027-04-19,清明,-
2027-04-20,穀雨,15:18
2027-04-21,穀雨,-
2027-04-22,穀雨,-
2027-04-23,穀雨,-
2027-04-24,穀雨,-
2027-04-25,穀雨,-
2027-04-26,穀雨,-
2027-04-27,穀雨,-
2027-04-28,穀雨,-
2027-04-29,穀雨,-
2027-04-30,穀雨,-
2027-05-01,穀雨,-
2027-05-02,穀雨,-
2027-05-03,穀雨,-
2027-05-04,穀雨,-
2027-05-05,穀雨,-
2027-05-06,立夏,1:25
2027-05-07,立夏,-
2027-05-08,立夏,-
2027-05-09,立夏,-
2027-05-10,立夏,-
2027-05-11,立夏,-
2027-05-12,立夏,-
2027-05-13,立夏,-
2027-05-14,立夏,-
2027-05-15,立夏,-
2027-05-16,立夏,-
2027-05-17,立夏,-
2027-05-18,立夏,-
2027-05-19,立夏,-
2027-05-20,立夏,-
2027-05-21,小滿,14:18
2027-05-22,小滿,-
2027-05-23,小滿,-
2027-05-24,小滿,-
2027-05-25,小滿,-
2027-05-26,小滿,-
2027-05-27,小滿,-
2027-05-28,小滿,-
2027-05-29,小滿,-
2027-05-30,小滿,-
2027-05-31,小滿,-
2027-06-01,小滿,-
2027-06-02,小滿,-
2027-06-03,小滿,-
2027-06-04,小滿,-
2027-06-05,小滿,-
2027-06-06,芒種,5:26
2027-06-07,芒種,-
2027-06-08,芒種,-
2027-06-09,芒種,-
2027-06-10,芒種,-
2027-06-11,芒種,-
2027-06-12,芒種,-
2027-06-13,芒種,-
2027-06-14,芒種,-
2027-06-15,芒種,-
2027-06-16,芒種,-
2027-06-17,芒種,-
2027-06-18,芒種,-
2027-06-19,芒種,-
2027-06-20,芒種,-
2027-06-21,夏至,22:11
2027-06-22,夏至,-
2027-06-23,夏至,-
2027-06-24,夏至,-
2027-06-25,夏至,-
2027-06-26,夏至,-
2027-06-27,夏至,-
2027-06-28,夏至,-
2027-06-29,夏至,-
2027-06-30,夏至,-
2027-07-01,夏至,-
2027-07-02,夏至,-
2027-07-03,夏至,-
2027-07-04,夏至,-
2027-07-05,夏至,-
2027-07-06,夏至,-
2027-07-07,小暑,15:37
2027-07-08,小暑,-
2027-07-09,小暑,-
2027-07-10,小暑,-
2027-07-11,小暑,-
2027-07-12,小暑,-
2027-07-13,小暑,-
2027-07-14,小暑,-
2027-07-15,小暑,-
2027-07-16,小暑,-
2027-07-17,小暑,-
2027-07-18,小暑,-
2027-07-19,小暑,-
2027-07-20,小暑,-
2027-07-21,小暑,-
2027-07-22,小暑,-
2027-07-23,大暑,9:05
2027-07-24,大暑,-
2027-07-25,大暑,-
2027-07-26,大暑,-
2027-07-27,大暑,-
2027-07-28,大暑,-
2027-07-29,大暑,-
2027-07-30,大暑,-
2027-07-31,大暑,-
2027-08-01,大暑,-
2027-08-02,大暑,-
2027-08-03,大暑,-
2027-08-04,大暑,-
2027-08-05,大暑,-
2027-08-06,大暑,-
2027-08-07,大暑,-
2027-08-08,立秋,1:27
2027-08-09,立秋,-
2027-08-10,立秋,-
2027-08-11,立秋,-
2027-08-12,立秋,-
2027-08-13,立秋,-
2027-08-14,立秋,-
2027-08-15,立秋,-
2027-08-16,立秋,-
2027-08-17,立秋,-
2027-08-18,立秋,-
2027-08-19,立秋,-
2027-08-20,立秋,-
2027-08-21,立秋,-
2027-08-22,立秋,-
2027-08-23,處暑,16:14
2027-08-24,處暑,-
2027-08-25,處暑,-
2027-08-26,處暑,-
2027-08-27,處暑,-
2027-08-28,處暑,-
2027-08-29,處暑,-
2027-08-30,處暑,-
2027-08-31,處暑,-
2027-09-01,處暑,-
2027-09-02,處暑,-
2027-09-03,處暑,-
2027-09-04,處暑,-
2027-09-05,處暑,-
2027-09-06,處暑,-
2027-09-07,處暑,-
2027-09-08,白露,4:28
2027-09-09,白露,-
2027-09-10,白露,-
2027-09-11,白露,-
2027-09-12,白露,-
2027-09-13,白露,-
2027-09-14,白露,-
2027-09-15,白露,-
2027-09-16,白露,-
2027-09-17,白露,-
2027-09-18,白露,-
2027-09-19,白露,-
2027-09-20,白露,-
2027-09-21,白露,-
2027-09-22,白露,-
2027-09-23,秋分,14:02
2027-09-24,秋分,-
2027-09-25,秋分,-
2027-09-26,秋分,-
2027-09-27,秋分,-
2027-09-28,秋分,-
2027-09-29,秋分,-
2027-09-30,秋分,-
2027-10-01,秋分,-
2027-10-02,秋分,-
2027-10-03,秋分,-
2027-10-04,秋分,-
2027-10-05,秋分,-
2027-10-06,秋分,-
2027-10-07,秋分,-
2027-10-08,寒露,20:17
2027-10-09,寒露,-
2027-10-10,寒露,-
2027-10-11,寒露,-
2027-10-12,寒露,-
2027-10-13,寒露,-
2027-10-14,寒露,-
2027-10-15,寒露,-
2027-10-16,寒露,-
2027-10-17,寒露,-
2027-10-18,寒露,-
2027-10-19,寒露,-
2027-10-20,寒露,-
2027-10-21,寒露,-
2027-10-22,寒露,-
2027-10-23,霜降,23:33
2027-10-24,霜降,-
2027-10-25,霜降,-
2027-10-26,霜降,-
2027-10-27,霜降,-
2027-10-28,霜降,-
2027-10-29,霜降,-
2027-10-30,霜降,-
2027-10-31,霜降,-
2027-11-01,霜降,-
2027-11-02,霜降,-
2027-11-03,霜降,-
2027-11-04,霜降,-
2027-11-05,霜降,-
2027-11-06,霜降,-
2027-11-07,立冬,23:38
2027-11-08,立冬,-
2027-11-09,立冬,-
2027-11-10,立冬,-
2027-11-11,立冬,-
2027-11-12,立冬,-
2027-11-13,立冬,-
2027-11-14,立冬,-
2027-11-15,立冬,-
2027-11-16,立冬,-
2027-11-17,立冬,-
2027-11-18,立冬,-
2027-11-19,立冬,-
2027-11-20,立冬,-
2027-11-21,立冬,-
2027-11-22,小雪,21:16
2027-11-23,小雪,-
2027-11-24,小雪,-
2027-11-25,小雪,-
2027-11-26,小雪,-
2027-11-27,小雪,-
2027-11-28,小雪,-
2027-11-29,小雪,-
2027-11-30,小雪,-
2027-12-01,小雪,-
2027-12-02,小雪,-
2027-12-03,小雪,-
2027-12-04,小雪,-
